Randomizer Version: 4.6.0-dev
Random Seed: 166429477210202
Settings String: 321WRIEEnKKAo0CkAKRAAKeBhtESQEAFAACCQAuMgAAAAACwhCI2gTkwYYICTIHBwMyAAUYAsIQiAAAAAAJUG9rZW1vbiBYsrKwYoTcQEI=

--Randomized Evolutions--
Bulbasaur       -> Nidorino       
Murkrow         -> Staraptor      
Misdreavus      -> Froslass       
Pineco          -> Scyther        
Gligar          -> Drifblim       
Snubbull        -> Whimsicott     
Sneasel         -> Walrein        
Teddiursa       -> Unfezant       
Slugma          -> Monferno       
Swinub          -> Sandslash      
Piloswine       -> Krookodile     
Remoraid        -> Whiscash       
Houndour        -> Scrafty        
Phanpy          -> Hippowdon      
Porygon2        -> Bouffalant     
Tyrogue         -> Pignite, Sawk and Heracross
Smoochum        -> Metang         
Elekid          -> Raichu         
Magby           -> Camerupt       
Larvitar        -> Onix           
Pupitar         -> Rhyperior      
Treecko         -> Bayleef        
Grovyle         -> Jumpluff       
Torchic         -> Charmeleon     
Combusken       -> Flareon        
Mudkip          -> Corsola        
Marshtomp       -> Clawitzer      
Poochyena       -> Sableye        
Zigzagoon       -> Lickitung      
Wurmple         -> Weedle and Spewpa
Silcoon         -> Ariados        
Cascoon         -> Butterfree     
Lotad           -> Slowpoke       
Lombre          -> Vileplume      
Seedot          -> Lileep         
Nuzleaf         -> Cradily        
Taillow         -> Furfrou        
Wingull         -> Murkrow        
Ralts           -> Snubbull       
Kirlia          -> Togekiss and Grumpig
Surskit         -> Frogadier      
Shroomish       -> Shiftry        
Slakoth         -> Lopunny        
Vigoroth        -> Snorlax        
Nincada         -> Durant and Paras
Whismur         -> Teddiursa      
Loudred         -> Stoutland      
Makuhita        -> Pangoro        
Azurill         -> Pidgey         
Nosepass        -> Aggron         
Skitty          -> Munchlax       
Aron            -> Solrock        
Lairon          -> Escavalier     
Meditite        -> Machoke        
Electrike       -> Stunfisk       
Roselia         -> Chesnaught     
Gulpin          -> Weezing        
Carvanha        -> Mightyena      
Wailmer         -> Crawdaunt      
Numel           -> Gligar         
Spoink          -> Reuniclus      
Trapinch        -> Rhyhorn        
Vibrava         -> Haxorus        
Cacnea          -> Servine        
Swablu          -> Zangoose       
Barboach        -> Steelix        
Corphish        -> Omastar        
Baltoy          -> Xatu           
Lileep          -> Bellossom      
Anorith         -> Yanmega        
Feebas          -> Carracosta     
Shuppet         -> Rotom          
Duskull         -> Golurk         
Dusclops        -> Trevenant      
Wynaut          -> Medicham       
Snorunt         -> Glaceon and Piloswine
Spheal          -> Palpitoad      
Sealeo          -> Milotic        
Clamperl        -> Barbaracle and Swanna
Bagon           -> Gabite         
Shelgon         -> Garchomp       
Beldum          -> Swoobat        
Metang          -> Hypno          
Turtwig         -> Gloom          
Grotle          -> Lilligant      
Chimchar        -> Combusken      
Monferno        -> Simisear       
Piplup          -> Marshtomp      
Prinplup        -> Floatzel       
Starly          -> Mantyke        
Staravia        -> Braviary       
Bidoof          -> Chatot         
Kricketot       -> Whirlipede     
Shinx           -> Flaaffy        
Luxio           -> Magnezone      
Budew           -> Wormadam       
Cranidos        -> Armaldo        
Shieldon        -> Bisharp        
Burmy           -> Ledian and Beautifly
Combee          -> Venomoth       
Buizel          -> Octillery      
Cherubi         -> Carnivine      
Shellos         -> Seadra         
Drifloon        -> Crobat         
Buneary         -> Vigoroth       
Glameow         -> Persian        
Chingling       -> Lunatone       
Stunky          -> Gengar         
Bronzor         -> Claydol        
Bonsly          -> Nosepass       
Mime Jr.        -> Bronzong       
Happiny         -> Dodrio         
Gible           -> Graveler       
Gabite          -> Kingdra        
Munchlax        -> Exploud        
Riolu           -> Infernape      
Hippopotas      -> Golem          
Skorupi         -> Venusaur       
Croagunk        -> Blaziken       
Finneon         -> Alomomola      
Mantyke         -> Sharpedo       
Snover          -> Meganium       
Snivy           -> Sunflora       
Servine         -> Tangela        
Tepig           -> Lampent        
Pignite         -> Lucario        
Oshawott        -> Poliwhirl      
Dewott          -> Wailord        
Patrat          -> Linoone        
Lillipup        -> Deerling       
Herdier         -> Blissey        
Purrloin        -> Skuntank       
Pansage         -> Cacturne       
Pansear         -> Typhlosion     
Panpour         -> Swampert       
Munna           -> Malamar        
Pidove          -> Rufflet        
Tranquill       -> Heliolisk      
Blitzle         -> Magneton       
Roggenrola      -> Magcargo       
Boldore         -> Rampardos      
Woobat          -> Mr. Mime       
Drilbur         -> Flygon         
Timburr         -> Hitmonlee      
Gurdurr         -> Hitmontop      
Tympole         -> Tirtouga       
Palpitoad       -> Mamoswine      
Sewaddle        -> Ivysaur        
Swadloon        -> Breloom        
Venipede        -> Trubbish       
Whirlipede      -> Leavanny       
Cottonee        -> Gardevoir      
Petilil         -> Exeggutor      
Sandile         -> Pawniard       
Krokorok        -> Houndoom       
Darumaka        -> Chandelure     
Dwebble         -> Vespiquen      
Scraggy         -> Greninja       
Yamask          -> Mismagius      
Tirtouga        -> Huntail        
Archen          -> Probopass      
Trubbish        -> Swalot         
Zorua           -> Mandibuzz      
Minccino        -> Audino         
Gothita         -> Chimecho       
Gothorita       -> Meowstic       
Solosis         -> Espurr         
Duosion         -> Espeon         
Ducklett        -> Kingler        
Vanillite       -> Amaura         
Vanillish       -> Cryogonal      
Deerling        -> Kecleon        
Karrablast      -> Accelgor       
Foongus         -> Golbat         
Frillish        -> Dusclops       
Joltik          -> Scolipede      
Ferroseed       -> Aegislash      
Klink           -> Skarmory       
Klang           -> Excadrill      
Tynamo          -> Plusle         
Eelektrik       -> Galvantula     
Elgyem          -> Gothorita      
Litwick         -> Magby          
Lampent         -> Ninetales      
Axew            -> Dragonair      
Fraxure         -> Tyrantrum      
Cubchoo         -> Abomasnow      
Shelmet         -> Ninjask        
Mienfoo         -> Machamp        
Golett          -> Cofagrigus     
Pawniard        -> Zoroark        
Rufflet         -> Miltank        
Vullaby         -> Umbreon        
Deino           -> Liepard        
Zweilous        -> Dragonite      
Larvesta        -> Shuckle        
Chespin         -> Grotle         
Quilladin       -> Simisage       
Fennekin        -> Quilava        
Braixen         -> Pyroar         
Froakie         -> Wailmer        
Frogadier       -> Starmie        
Bunnelby        -> Noctowl        
Fletchling      -> Farfetch’d     
Fletchinder     -> Gyarados       
Scatterbug      -> Metapod        
Spewpa          -> Parasect       
Litleo          -> Ursaring       
Flabébé         -> Spritzee       
Floette         -> Sylveon        
Skiddo          -> Sceptile       
Pancham         -> Gallade        
Espurr          -> Beheeyem and Sigilyph
Honedge         -> Haunter        
Doublade        -> Scizor         
Spritzee        -> Klefki         
Swirlix         -> Aromatisse     
Inkay           -> Spiritomb      
Binacle         -> Empoleon       
Skrelp          -> Samurott       
Clauncher       -> Mantine        
Helioptile      -> Electabuzz     
Tyrunt          -> Bastiodon      
Amaura          -> Rhydon         
Goomy           -> Druddigon      
Sliggoo         -> Hydreigon      
Phantump        -> Misdreavus     
Pumpkaboo       -> Ferrothorn     
Bergmite        -> Aurorus        
Noibat          -> Gliscor        

--Pokemon Base Stats & Types--
NUM|NAME            |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ABILITY1      |ABILITY2      |ABILITY3      |ITEM
  1|Bulbasaur       |GRASS/POISON     |  71|  36|  40|  44|  99|  27|Defeatist     |--            |Sturdy        |Dawn Stone (common), Twisted Spoon (rare)
  2|Ivysaur         |GRASS/POISON     |  69| 101|  54|  69|  55|  56|Slow Start    |Inner Focus   |Shed Skin     |
  3|Venusaur        |GRASS/POISON     | 149|  37| 144|  57|  92|  46|Bad Dreams    |--            |Stench        |Odd Incense (common), Deep Sea Tooth (rare)
  4|Charmander      |FIRE             |  34|  55|  65|  65|  69|  21|Steadfast     |Sand Force    |Storm Drain   |
  5|Charmeleon      |FIRE             |  94|  30|  59|  30|  95|  97|Turboblaze    |Aroma Veil    |Serene Grace  |Dragon Gem (rare)
  6|Charizard       |FIRE/FLYING      | 120| 113|  66|  85|  61|  89|Overgrow      |Symbiosis     |Strong Jaw    |Lansat Berry (common), Fire Gem (rare)
  7|Squirtle        |WATER            |  87|  69|  19|  49|  75|  15|Tangled Feet  |--            |Flash Fire    |Shalour Sable (rare)
  8|Wartortle       |WATER            |  49|  90|  87|  64|  32|  82|Iron Barbs    |--            |Reckless      |Thunder Stone (rare)
  9|Blastoise       |WATER            | 107| 235|  29|  42|  38|  80|Imposter      |Gooey         |Pressure      |Dragon Scale (common)
 10|Caterpie        |BUG              |  35|  33|  28|  16|  54|  30|Heatproof     |--            |Soundproof    |Medichamite (100%)
 11|Metapod         |BUG              |  48|  21|  31|  18|  50|  36|Gluttony      |--            |Quick Feet    |
 12|Butterfree      |BUG/FLYING       | 111| 114|  76|  16|  47|  30|Immunity      |Klutz         |Technician    |
 13|Weedle          |BUG/POISON       |  24|  58|  35|  12|  40|  26|Water Veil    |--            |Mummy         |White Herb (rare)
 14|Kakuna          |BUG/POISON       |  63|  29|  11|  42|  49|  11|Effect Spore  |--            |Fur Coat      |
 15|Beedrill        |BUG/POISON       | 115|  61| 103|  54|  33|  29|Serene Grace  |Heavy Metal   |Gluttony      |
 16|Pidgey          |NORMAL/FLYING    |  57|  40|  44|  18|  45|  47|Oblivious     |--            |Flash Fire    |
 17|Pidgeotto       |NORMAL/FLYING    |  92|  55|  62|  41|  58|  41|Rattled       |--            |Swift Swim    |Big Pearl (rare)
 18|Pidgeot         |NORMAL/FLYING    |  52|  49|  73| 137|  76|  93|Pickup        |Simple        |Pickpocket    |Iron (common)
 19|Rattata         |NORMAL           |  24|  43|  72|  32|  24|  59|Pixilate      |Minus         |Weak Armor    |
 20|Raticate        |NORMAL           |  68|  53|  79|  75|  90|  49|Serene Grace  |--            |Poison Heal   |Yellow Flute (rare)
 21|Spearow         |NORMAL/FLYING    |  55|  18|  54|  57|  59|  19|Tangled Feet  |--            |Hustle        |Chill Drive (rare)
 22|Fearow          |NORMAL/FLYING    |  88|  43| 110|  30|  60| 111|Justified     |--            |Overcoat      |
 23|Ekans           |POISON           |  74|  68|  41|  51|  29|  25|Unburden      |Friend Guard  |Marvel Scale  |Max Revive (common), Muscle Band (rare)
 24|Arbok           |POISON           |  42| 102|  70|  77|  81|  65|Pickup        |--            |Toxic Boost   |
 25|Pikachu         |ELECTRIC         |  40|  81|  41|  61|  69|  27|Soundproof    |Wonder Skin   |Own Tempo     |Custap Berry (common), Potion (rare)
 26|Raichu          |ELECTRIC         |  92|  81|  91|  43|  47| 132|Anticipation  |--            |Flower Veil   |
 27|Sandshrew       |GROUND           |  61|  49|  48|  44|  42|  55|Flower Veil   |Unnerve       |Cursed Body   |Rare Candy (common)
 28|Sandslash       |GROUND           |  59|  27|  78| 123| 137|  26|Motor Drive   |Hydration     |Fur Coat      |
 29|Nidoran♀        |POISON           |  65|  20|  56|  35|  50|  49|Minus         |--            |Illusion      |Toxic Orb (common)
 30|Nidorina        |POISON           |  38|  49|  20|  41| 118|  99|Filter        |Steadfast     |Magician      |
 31|Nidoqueen       |POISON/GROUND    | 141|  13|  48|  97|  75| 131|Normalize     |--            |Frisk         |Flying Gem (common), Gengarite (rare)
 32|Nidoran♂        |POISON           |  30|  32|  47|  53|  57|  54|Truant        |--            |Slow Start    |
 33|Nidorino        |POISON           |  56|  94|  44|  79|  67|  25|Sniper        |Gale Wings    |Scrappy       |Heracronite (common)
 34|Nidoking        |POISON/GROUND    | 149|  38| 143|  11|  65| 100|Overgrow      |--            |Static        |Casteliacone (rare)
 35|Clefairy        |FAIRY            |  41|  39|  39|  40|  85|  79|Pixilate      |--            |Immunity      |
 36|Clefable        |FAIRY            | 117| 107|  59|  53|  30| 117|Natural Cure  |Grass Pelt    |Keen Eye      |
 37|Vulpix          |FIRE             |  77|  52|  34|  14|  88|  33|Prankster     |--            |Klutz         |
 38|Ninetales       |FIRE             |  51|  86| 117| 121|  18| 111|Iron Fist     |--            |Defeatist     |
 39|Jigglypuff      |NORMAL/FAIRY     |  77|  46|  13|  21|  50|  63|Sturdy        |Parental Bond |Infiltrator   |Haban Berry (common)
 40|Wigglytuff      |NORMAL/FAIRY     | 134|  43|  16|  30|  84| 128|Guts          |Overgrow      |Light Metal   |Mind Plate (common)
 41|Zubat           |POISON/FLYING    |  92|  19|  16|  20|  41|  57|Tangled Feet  |--            |Super Luck    |Zinc (common), Lum Berry (rare)
 42|Golbat          |POISON/FLYING    | 104| 108| 101|  91|  28|  23|Tinted Lens   |--            |Flash Fire    |
 43|Oddish          |GRASS/POISON     |  85|  77|  59|  19|  50|  29|Intimidate    |--            |Friend Guard  |Cheri Berry (100%)
 44|Gloom           |GRASS/POISON     |  90|  17|  85|  70|  53|  80|Forewarn      |--            |Big Pecks     |Pinsirite (rare)
 45|Vileplume       |GRASS/POISON     | 118|  23|  92| 110|  63|  85|No Guard      |--            |Cursed Body   |
 46|Paras           |BUG/GRASS        |  46|  48|  60|  20|  55|  55|Slow Start    |--            |Huge Power    |Water Stone (common), Soothe Bell (rare)
 47|Parasect        |BUG/GRASS        |  63|  36|  88|  28|  96|  94|Poison Point  |Super Luck    |Solar Power   |Scizorite (common), Full Incense (rare)
 48|Venonat         |BUG/POISON       |  55|  74|  45|  62|  12|  59|Poison Point  |--            |Toxic Boost   |
 49|Venomoth        |BUG/POISON       |  33|  45|  79| 107|  32| 154|Rock Head     |Simple        |Symbiosis     |Heart Scale (common), Protein (rare)
 50|Diglett         |GROUND           |  65|  21|  36|  53|  53|  37|Prankster     |--            |Big Pecks     |Haban Berry (common)
 51|Dugtrio         |GROUND           | 105|  78|  41|  96|  73|  12|Overcoat      |Mold Breaker  |Fairy Aura    |Red Card (rare)
 52|Meowth          |NORMAL           |  43|  34| 122|  28|  47|  16|Aerilate      |Big Pecks     |Snow Warning  |Focus Band (rare)
 53|Persian         |NORMAL           |  73|  89|  69|  56|  90|  63|Multiscale    |Static        |Light Metal   |Claw Fossil (common), Quick Claw (rare)
 54|Psyduck         |WATER            |  35|  39|  63|  75|  79|  29|Symbiosis     |--            |Poison Point  |X Speed (common), Comet Shard (rare)
 55|Golduck         |WATER            |  21| 140|  69|  97| 106|  67|Iron Fist     |Volt Absorb   |Download      |
 56|Mankey          |FIGHTING         |  58|  36|  69|  50|  51|  41|Tinted Lens   |Rock Head     |Infiltrator   |
 57|Primeape        |FIGHTING         |  36| 180|  27|  26| 141|  45|Sniper        |--            |Sturdy        |
 58|Growlithe       |FIRE             |  50|  21|  78|  67|  58|  75|Normalize     |--            |Infiltrator   |
 59|Arcanine        |FIRE             |  74|  98| 111| 131|  91|  49|Rough Skin    |--            |Compound Eyes |
 60|Poliwag         |WATER            |  84|  95|  11|  20|  42|  48|Hustle        |Unaware       |Illusion      |Tyranitarite (common), Silk Scarf (rare)
 61|Poliwhirl       |WATER            |  86|  87|  44|  22|  94|  51|Swift Swim    |--            |Slow Start    |
 62|Poliwrath       |WATER/FIGHTING   | 132| 120|  47|  84|  97|  30|Mummy         |--            |Rock Head     |
 63|Abra            |PSYCHIC          |  62|  28|  76|  65|  14|  66|Cute Charm    |Toxic Boost   |Moody         |
 64|Kadabra         |PSYCHIC          |  69|  83|  53|  78|  86|  31|Competitive   |Skill Link    |Scrappy       |Muscle Wing (rare)
 65|Alakazam        |PSYCHIC          |  63| 103|  71| 106|  86|  70|Weak Armor    |Defiant       |Insomnia      |
 66|Machop          |FIGHTING         |  79|  42|  25|  60|  45|  54|Sturdy        |--            |Anticipation  |
 67|Machoke         |FIGHTING         |  29|  28| 120|  60|  78|  90|Limber        |--            |Adaptability  |
 68|Machamp         |FIGHTING         | 145|  21|  87|  57| 152|  43|Mold Breaker  |--            |Heatproof     |Stone Plate (rare)
 69|Bellsprout      |GRASS/POISON     |  88|  54|  24|  41|  12|  81|Scrappy       |--            |Quick Feet    |Flying Gem (common)
 70|Weepinbell      |GRASS/POISON     |  66|  74|  33|  80|  58|  78|Prankster     |Truant        |Multiscale    |Medichamite (common), Escape Rope (rare)
 71|Victreebel      |GRASS/POISON     | 127| 121|  15|  24|  98| 106|Fairy Aura    |Friend Guard  |Hustle        |Abomasite (rare)
 72|Tentacool       |WATER/POISON     | 102|  18|  49|  17|  96|  53|Gluttony      |--            |Leaf Guard    |
 73|Tentacruel      |WATER/POISON     | 151| 184|  15|  92|  24|  49|Frisk         |--            |Harvest       |X Sp. Def (rare)
 74|Geodude         |ROCK/GROUND      |  64|  40|  46|  57|  55|  37|Hyper Cutter  |--            |Volt Absorb   |
 75|Graveler        |ROCK/GROUND      |  42|  70|  68|  82|  45|  83|Ice Body      |Water Veil    |Plus          |
 76|Golem           |ROCK/GROUND      | 147| 128|  97|  45|  63|  15|Rattled       |Steadfast     |Magician      |Net Ball (common)
 77|Ponyta          |FIRE             |  92|  73|  68|  72|  81|  24|Snow Cloak    |--            |Sticky Hold   |
 78|Rapidash        |FIRE             |  42| 112|  25| 141| 170|  11|Poison Touch  |--            |Prankster     |Zoom Lens (common)
 79|Slowpoke        |WATER/PSYCHIC    |  27|  62|  66|  73|  25|  62|Iron Fist     |--            |Adaptability  |
 80|Slowbro         |WATER/PSYCHIC    | 129| 134|  21|  24| 120|  63|Skill Link    |--            |Moxie         |
 81|Magnemite       |ELECTRIC/STEEL   |  38|  92|  45|  47|  17|  85|Poison Heal   |--            |Aura Break    |Flame Orb (rare)
 82|Magneton        |ELECTRIC/STEEL   | 120| 118| 121|  17|  47|  41|Fur Coat      |Flame Body    |Klutz         |
 83|Farfetch’d      |NORMAL/FLYING    |  47|  66|  74|  44|  74|  47|Sand Force    |Sniper        |Marvel Scale  |
 84|Doduo           |NORMAL/FLYING    |  72|  32|  36|  30|  74|  66|Sturdy        |Moxie         |Sand Force    |Paralyze Heal (rare)
 85|Dodrio          |NORMAL/FLYING    | 129|  44|  39| 195|  18|  35|Mummy         |Own Tempo     |Aerilate      |Insect Plate (common)
 86|Seel            |WATER            |  57|  51|  20|  60|  66|  71|Iron Fist     |Magma Armor   |Illuminate    |
 87|Dewgong         |WATER/ICE        | 131|  62|  49| 126|  59|  48|Truant        |Solid Rock    |Steadfast     |Draco Plate (rare)
 88|Grimer          |POISON           |  47|  85|  29|  22|  73|  68|Rivalry       |Truant        |Gooey         |Timer Ball (common), Energy Root (rare)
 89|Muk             |POISON           | 167|  30|  50|  95|  16| 143|Rock Head     |--            |Friend Guard  |Soda Pop (common), X Sp. Atk (rare)
 90|Shellder        |WATER            |  64|  44|  24|  69|  28|  76|Prankster     |Analytic      |Honey Gather  |
 91|Cloyster        |WATER/ICE        | 136| 105|  19| 110|  75|  80|Water Absorb  |--            |Imposter      |
 92|Gastly          |GHOST/POISON     |  75|  20|  62|  28|  47|  78|Regenerator   |Sticky Hold   |Own Tempo     |
 93|Haunter         |GHOST/POISON     | 110|  48|  41|  28| 108|  69|Light Metal   |--            |Unburden      |Dream Ball (common), Never-Melt Ice (rare)
 94|Gengar          |GHOST/POISON     | 114|  72|  49| 113| 116|  37|Reckless      |Levitate      |Color Change  |
 95|Onix            |ROCK/GROUND      | 101|  36|  73|  92|  34|  49|Magma Armor   |Sap Sipper    |Contrary      |
 96|Drowzee         |PSYCHIC          |  46|  47|  20|  87|  58|  70|Slow Start    |Poison Point  |Tangled Feet  |
 97|Hypno           |PSYCHIC          |  75| 105|  43|  70|  75| 115|Keen Eye      |--            |Sticky Hold   |Balm Mushroom (rare)
 98|Krabby          |WATER            |  73|  36|  22|  81|  61|  52|Sheer Force   |Drizzle       |Static        |Salac Berry (common)
 99|Kingler         |WATER            | 155|  43|  17|  24|  52| 184|Multiscale    |Competitive   |Sand Veil     |Black Glasses (rare)
100|Voltorb         |ELECTRIC         |  21|  78|  94|  43|  80|  14|Overgrow      |Aroma Veil    |Stench        |Big Mushroom (common)
101|Electrode       |ELECTRIC         |  34|  16|  34| 126|  97| 173|Sturdy        |Pixilate      |Drizzle       |
102|Exeggcute       |GRASS/PSYCHIC    |  36|  30|  85|  41|  39|  95|Hyper Cutter  |--            |Sand Rush     |Pretty Wing (common), Sacred Ash (rare)
103|Exeggutor       |GRASS/PSYCHIC    | 121|  32|  62| 101| 192|  11|Water Absorb  |Sticky Hold   |Drought       |Heart Scale (rare)
104|Cubone          |GROUND           |  48|  11|  53|  84|  81|  44|Regenerator   |--            |Hustle        |
105|Marowak         |GROUND           |  77| 117| 113|  32|  23|  63|Analytic      |Overgrow      |Multiscale    |Fresh Water (100%)
106|Hitmonlee       |FIGHTING         |  88|  99|  78|  93|  15|  82|Frisk         |--            |Effect Spore  |Poké Ball (common)
107|Hitmonchan      |FIGHTING         |  21|  87| 117|  91|  28| 111|Gluttony      |Sand Rush     |Blaze         |
108|Lickitung       |NORMAL           |  47|  98|  66|  27|  71|  76|Unburden      |Drizzle       |Magic Bounce  |Destiny Knot (common), Ground Gem (rare)
109|Koffing         |POISON           |  91|  62|  14|  45|  79|  49|Healer        |Chlorophyll   |Aftermath     |
110|Weezing         |POISON           |  42|  93|  98|  33|  21| 202|Prankster     |Klutz         |Telepathy     |
111|Rhyhorn         |GROUND/ROCK      | 111|  44|  83|  52|  40|  14|Anger Point   |Hustle        |Battle Armor  |
112|Rhydon          |GROUND/ROCK      |  58|  51| 133|  76|  83|  83|Download      |Competitive   |Speed Boost   |Heracronite (common)
113|Chansey         |NORMAL           |  22|  99|  19|  67| 145|  98|Protean       |Lightning Rod |Frisk         |Energy Powder (common), Reaper Cloth (rare)
114|Tangela         |GRASS            |  96|  39| 120|  23| 116|  42|Cheek Pouch   |Unnerve       |Toxic Boost   |
115|Kangaskhan      |NORMAL           | 116|  47| 124|  61|  39| 104|Motor Drive   |Heavy Metal   |Leaf Guard    |
116|Horsea          |WATER            |  64|  21|  38|  54|  50|  68|Scrappy       |Rivalry       |Victory Star  |Sky Plate (common), Maranga Berry (rare)
117|Seadra          |WATER            | 123| 106|  53|  47|  53|  57|Cheek Pouch   |Levitate      |Drought       |Power Weight (common)
118|Goldeen         |WATER            |  33|  59|  35|  63|  57|  72|Regenerator   |Aerilate      |Anticipation  |
119|Seaking         |WATER            |  78|  65|  17| 111| 118|  62|Anger Point   |--            |Oblivious     |Yache Berry (common), Smoke Ball (rare)
120|Staryu          |WATER            |  47|  74|  54|  29|  72|  64|Forewarn      |--            |Own Tempo     |Pearl (common)
121|Starmie         |WATER/PSYCHIC    | 160| 145|  38|  35| 118|  24|Plus          |--            |Contrary      |Electric Gem (common)
122|Mr. Mime        |PSYCHIC/FAIRY    |  70| 102|  31| 106| 112|  39|Snow Cloak    |Fur Coat      |Imposter      |
123|Scyther         |BUG/FLYING       |  97|  52| 107|  41|  70| 134|Fur Coat      |Magician      |Unnerve       |
124|Jynx            |ICE/PSYCHIC      |  95|  68|  99|  89|  78|  26|Sniper        |--            |Imposter      |Carbos (common)
125|Electabuzz      |ELECTRIC         |  32| 152|  25| 152| 103|  26|Battle Armor  |--            |Adaptability  |Never-Melt Ice (common)
126|Magmar          |FIRE             |  71|  87| 109|  87|  54|  88|Natural Cure  |Sniper        |Friend Guard  |Full Restore (common)
127|Pinsir          |BUG              |  47| 120|  27| 123|  74| 109|Healer        |--            |Sniper        |
128|Tauros          |NORMAL           | 105|  12| 116| 121|  36| 100|Minus         |Heatproof     |Slow Start    |
129|Magikarp        |WATER            |  33|  35|  43|  30|  43|  17|Sand Rush     |Iron Fist     |Natural Cure  |Energy Powder (rare)
130|Gyarados        |WATER/FLYING     |  80| 116|  63| 104| 105|  73|Healer        |Bad Dreams    |Unnerve       |Safari Ball (100%)
131|Lapras          |WATER/ICE        |  91|  90|  36| 109| 108| 101|Victory Star  |--            |Blaze         |Balm Mushroom (100%)
132|Ditto           |NORMAL           |  72|  36|  45|  22|  72|  41|Stench        |Refrigerate   |Iron Barbs    |
133|Eevee           |NORMAL           |  44|  53|  73|  35|  74|  46|Hyper Cutter  |Cheek Pouch   |Huge Power    |Fighting Gem (common)
134|Vaporeon        |WATER            |  80|  87|  83|  83| 114|  78|Adaptability  |--            |Magma Armor   |Max Ether (common)
135|Jolteon         |ELECTRIC         | 131|  41| 118|  35| 112|  88|Blaze         |Hustle        |Sniper        |Toxic Plate (common)
136|Flareon         |FIRE             |  88|  89| 114|  35| 113|  85|Overgrow      |--            |Rattled       |Sacred Ash (common)
137|Porygon         |NORMAL           |  89|  72|  26|  85|  52|  71|Moody         |Steadfast     |Sand Veil     |
